,g1,g2
38267,ATP1A1,XRCC5
38268,ATP1A1,XRCC6
38269,ATP1A1,YIPF5
38270,ATP1A1,YWHAE
38271,ATP1A1,YWHAZ
38272,ATP1A1,ZBTB2
38273,ATP1A1,ZFHX4
38274,ATP1A1,ZFPL1
38275,ATP1A1,ZNF574
38276,ATP1A1,ZNF598
38277,ATP1A1,ZNF746
38278,ATP1A1,ZNRF1
38279,ATP1A1,ZNRF2
38280,ATP1A1,ZYX
38281,ATP1A1,GAG
38282,ATP1A1,NSP1
38283,ATP1A1,NSP10
38284,ATP1A1,NSP4
38285,ATP1A1,NSP5
38286,ATP1A1,NSP6
38287,ATP1A1,NSP7
38288,ATP1A1,NSP8
38289,ATP1A2,AQP5
38290,ATP1A2,ARHGEF16
38291,ATP1A2,ATP1A3
38292,ATP1A2,ATP6V0A4
38293,ATP1A2,ATP6V0D1
38294,ATP1A2,ATP6V1A
38295,ATP1A2,ANK2
38296,ATP1A2,ATP1A1
38297,ATP1A2,ATP1A2
38298,ATP1A2,ATP1A3
38299,ATP1A2,ATP1B1
38300,ATP1A2,ATP1B2
38301,ATP1A2,ATP2B1
38302,ATP1A2,ATXN1
38303,ATP1A2,BRD7
38304,ATP1A2,C3ORF62
38305,ATP1A2,CAND1
38306,ATP1A2,CCT7
38307,ATP1A2,CLTC
38308,ATP1A2,CNGA4
38309,ATP1A2,CUL3
38310,ATP1A2,CAND1
38311,ATP1A2,CUL3
38312,ATP1A2,DOCK5
38313,ATP1A2,DST
38314,ATP1A2,DPPA3
38315,ATP1A2,FBXO25
38316,ATP1A2,FANCD2
38317,ATP1A2,GJA1
38318,ATP1A2,HEXIM1
38319,ATP1A2,HIST1H4A
38320,ATP1A2,IFIT3
38321,ATP1A2,IL2RA
38322,ATP1A2,ITM2B
38323,ATP1A2,ITPR1
38324,ATP1A2,KCTD21
38325,ATP1A2,KCNMA1
38326,ATP1A2,LGR4
38327,ATP1A2,LIMK1
38328,ATP1A2,MAPT
38329,ATP1A2,P2RY8
38330,ATP1A2,PRNP
38331,ATP1A2,PPP1R9B
38332,ATP1A2,RAB1A
38333,ATP1A2,ROGDI
38334,ATP1A2,SCLT1
38335,ATP1A2,SPPL2B
38336,ATP1A2,STXBP5L
38337,ATP1A2,SLC8A1
38338,ATP1A2,SPTAN1
38339,ATP1A2,SPTBN1
38340,ATP1A2,TPX2
38341,ATP1A2,TRIM28
38342,ATP1A2,TPT1
38343,ATP1A2,UBC
38344,ATP1A2,VDAC1
38345,ATP1A2,VDAC2
38346,ATP1A2,VAMP2
38347,ATP1A2,ZNRF1
38348,ATP1A2,ZNRF2
40259,ATP9A,ABCC3
40260,ATP9A,ACADM
40261,ATP9A,ACKR2
40262,ATP9A,AI314180
40263,ATP9A,ATP13A3
40264,ATP9A,ATP2A1
40265,ATP9A,ATP2B2
40266,ATP9A,ATP2B4
40267,ATP9A,ATP9B
40268,ATP9A,ATP9A
40269,ATP9A,B4GAT1
40270,ATP9A,C3AR1
40271,ATP9A,CCR6
40272,ATP9A,CHCHD2
40273,ATP9A,CHRM5
40274,ATP9A,CLPP
40275,ATP9A,CMKLR1
40276,ATP9A,COMMD8
40277,ATP9A,COPS6
40278,ATP9A,COX6B1
40279,ATP9A,CRELD1
40280,ATP9A,CTR9
40281,ATP9A,COPS6
40282,ATP9A,DGCR2
40283,ATP9A,DHX29
40284,ATP9A,E5A
40285,ATP9A,ESR1
40286,ATP9A,ESR2
40287,ATP9A,FAM134C
40288,ATP9A,FPR2
40289,ATP9A,GPR35
40290,ATP9A,HERC4
40291,ATP9A,IFT57
40292,ATP9A,IPPK
40293,ATP9A,KCNA2
40294,ATP9A,KIAA1429
40295,ATP9A,KLHL42
40296,ATP9A,LAMTOR1
40297,ATP9A,LMBR1L
40298,ATP9A,LMTK2
40299,ATP9A,LPAR1
40300,ATP9A,LPAR2
40301,ATP9A,LRRC55
40302,ATP9A,LARS
40303,ATP9A,LRRC59
40304,ATP9A,M
40305,ATP9A,MLEC
40306,ATP9A,MYH9
40307,ATP9A,NES
40308,ATP9A,NIPAL1
40309,ATP9A,NAA30
40310,ATP9A,ORF3A
40311,ATP9A,ORF3B
40312,ATP9A,ORF7B
40313,ATP9A,P2RY2
40314,ATP9A,PBXIP1
40315,ATP9A,PLEKHA4
40316,ATP9A,PLK4
40317,ATP9A,PSMB4
40318,ATP9A,PSMB5
40319,ATP9A,RAB11A
40320,ATP9A,RAB3B
40321,ATP9A,RAB4A
40322,ATP9A,RAB7A
40323,ATP9A,RAB9A
40324,ATP9A,RANBP6
40325,ATP9A,RELL2
40326,ATP9A,RIC3
40327,ATP9A,RPL7A
40328,ATP9A,RPS4X
40329,ATP9A,SCN3B
40330,ATP9A,SH3GLB1
40331,ATP9A,SLC15A1
40332,ATP9A,SLC1A5
40333,ATP9A,SLC22A9
40334,ATP9A,SLC39A4
40335,ATP9A,SPPL2B
40336,ATP9A,STARD3NL
40337,ATP9A,STX12
40338,ATP9A,STX7
40339,ATP9A,SYP
40340,ATP9A,SLC6A4
40341,ATP9A,TMED2
40342,ATP9A,TMED7
40343,ATP9A,TMEM74
40344,ATP9A,TSPAN10
40345,ATP9A,TSPAN15
40346,ATP9A,TOP1
40347,ATP9A,UBR4
40348,ATP9A,VAMP3
40349,ATP9A,VPS16
40350,ATP9A,YIPF3
40351,ATP9A,ZNF644
40352,ATP9A,NSP4
40353,ATP9B,ATP9A
40354,ATP9B,ATP9B
40355,ATP9B,DDX58
40356,ATP9B,DVL2
40357,ATP9B,HNRNPL
40358,ATP9B,KIAA1429
40359,ATP9B,PDE2A
40360,ATP9B,SLC31A2
40361,ATP9B,TSPAN8
40362,ATP9B,TMEM63B
45230,BTLA,ABCF3
45231,BTLA,ARSK
45232,BTLA,BMP1
45233,BTLA,BMP8B
45234,BTLA,BTLA
45235,BTLA,CBWD1
45236,BTLA,COL6A2
45237,BTLA,CTBS
45238,BTLA,DDX19B
45239,BTLA,DHFR
45240,BTLA,ERVMER34-1
45241,BTLA,FGFR4
45242,BTLA,GRB2
45243,BTLA,HSPA5
45244,BTLA,IL17RA
45245,BTLA,LAMB2
45246,BTLA,LAMB3
45247,BTLA,METRNL
45248,BTLA,MOCS3
45249,BTLA,MTHFD2L
